date,winner,venue,first_team,second_team,first_runs,first_balls,first_overs,second_runs,second_balls,second_overs,net_run_rate
2024-03-15,Ireland,Sharjah,Ireland,Afghanistan,149,120,20,111,109,18.4,
2024-03-17,Afghanistan,Sharjah,Afghanistan,Ireland,152,120,20,142,120,20,
2024-03-18,Afghanistan,Sharjah,Afghanistan,Ireland,155,120,20,98,103,17.2,
2024-06-03,Afghanistan,Providence,Afghanistan,Uganda,183,120,20,58,87,16,
2024-06-07,Afghanistan,Providence,Afghanistan,New Zealand,159,120,20,75,87,15.2,
2024-06-13,Afghanistan,Tarouba,Papua New Guinea,Afghanistan,95,106,19.5,101,86,15.1,
2024-06-17,West Indies,Gros Islet,West Indies,Afghanistan,218,120,20,114,95,16.2,
2024-06-20,India,Bridgetown,India,Afghanistan,181,120,20,134,120,20,
2024-06-22,Afghanistan,Kingstown,Afghanistan,Australia,148,120,20,127,110,19.2,
2024-06-24,Afghanistan,Kingstown,Afghanistan,Bangladesh,115,120,20,105,104,17.5,
2024-06-26,South Africa,Tarouba,Afghanistan,South Africa,56,65,11.5,60,52,8.5,
2024-12-11,Zimbabwe,Harare,Afghanistan,Zimbabwe,144,120,20,145,120,20,
2024-12-13,Afghanistan,Harare,Afghanistan,Zimbabwe,153,120,20,103,100,17.4,
2024-12-14,Afghanistan,Harare,Zimbabwe,Afghanistan,127,117,19.5,128,101,19.3,
