,elo
Los Angeles Knight Riders,1339.5259362580473
MI New York,1486.3645770041378
San Francisco Unicorns,1709.0002098431673
Seattle Orcas,1326.2188742106841
Texas Super Kings,1551.4138637064439
Washington Freedom,1587.4765389775193
